BINID,WERKS,LGORT,BINTYPE,LOTYP,BINTEXT
A01-01,1000,A01,FIXED,100,Bin A01-01
A01-02,1000,A01,FIXED,100,Bin A01-02
A01-03,1000,A01,FIXED,100,Bin A01-03
A01-04,1000,A01,FIXED,100,Bin A01-04
A01-05,1000,A01,FIXED,100,Bin A01-05
A02-01,1000,A02,FIXED,100,Bin A02-01
A02-02,1000,A02,FIXED,100,Bin A02-02
A02-03,1000,A02,FIXED,100,Bin A02-03
A02-04,1000,A02,SECONDARY,200,Bin A02-04 (Secondary)
A02-05,1000,A02,SECONDARY,200,Bin A02-05 (Secondary)
A03-01,1000,A03,FIXED,100,Bin A03-01
A03-02,1000,A03,FIXED,100,Bin A03-02
A03-03,1000,A03,SECONDARY,200,Bin A03-03 (Secondary)
B01-01,1000,B01,FIXED,100,Bin B01-01
B01-02,1000,B01,FIXED,100,Bin B01-02
B01-03,1000,B01,FIXED,100,Bin B01-03
B01-04,1000,B01,SECONDARY,200,Bin B01-04 (Secondary)
B02-01,1000,B02,FIXED,100,Bin B02-01
B02-02,1000,B02,FIXED,100,Bin B02-02
B02-03,1000,B02,SECONDARY,200,Bin B02-03 (Secondary)
C01-01,1000,C01,FIXED,100,Bin C01-01
C01-02,1000,C01,FIXED,100,Bin C01-02
C01-03,1000,C01,SECONDARY,200,Bin C01-03 (Secondary)
C02-01,1000,C02,FIXED,100,Bin C02-01
C02-02,1000,C02,SECONDARY,200,Bin C02-02 (Secondary)
C03-01,1000,C03,FIXED,100,Bin C03-01
C03-02,1000,C03,SECONDARY,200,Bin C03-02 (Secondary)
A01-01,2000,A01,FIXED,100,Bin A01-01
A01-02,2000,A01,FIXED,100,Bin A01-02
A01-03,2000,A01,FIXED,100,Bin A01-03
A02-01,2000,A02,FIXED,100,Bin A02-01
A02-02,2000,A02,SECONDARY,200,Bin A02-02 (Secondary)
A03-01,2000,A03,FIXED,100,Bin A03-01
B01-01,2000,B01,FIXED,100,Bin B01-01
B01-02,2000,B01,FIXED,100,Bin B01-02
B01-03,2000,B01,SECONDARY,200,Bin B01-03 (Secondary)
B02-01,2000,B02,FIXED,100,Bin B02-01
B02-02,2000,B02,SECONDARY,200,Bin B02-02 (Secondary)
C01-01,2000,C01,FIXED,100,Bin C01-01
C01-02,2000,C01,FIXED,100,Bin C01-02
C02-01,2000,C02,FIXED,100,Bin C02-01
C03-01,2000,C03,SECONDARY,200,Bin C03-01 (Secondary)
A01-01,3000,A01,FIXED,100,Bin A01-01
A01-02,3000,A01,FIXED,100,Bin A01-02
A02-01,3000,A02,FIXED,100,Bin A02-01
A02-02,3000,A02,SECONDARY,200,Bin A02-02 (Secondary)
A03-01,3000,A03,FIXED,100,Bin A03-01
B01-01,3000,B01,FIXED,100,Bin B01-01
B02-01,3000,B02,FIXED,100,Bin B02-01
B02-02,3000,B02,SECONDARY,200,Bin B02-02 (Secondary)
C01-01,3000,C01,FIXED,100,Bin C01-01
C01-02,3000,C01,SECONDARY,200,Bin C01-02 (Secondary)
C02-01,3000,C02,FIXED,100,Bin C02-01
C03-01,3000,C03,FIXED,100,Bin C03-01
A01-01,4000,A01,FIXED,100,Bin A01-01
A01-02,4000,A01,FIXED,100,Bin A01-02
A02-01,4000,A02,FIXED,100,Bin A02-01
A02-02,4000,A02,SECONDARY,200,Bin A02-02 (Secondary)
A03-01,4000,A03,FIXED,100,Bin A03-01
A03-02,4000,A03,SECONDARY,200,Bin A03-02 (Secondary)
B01-01,4000,B01,FIXED,100,Bin B01-01
B02-01,4000,B02,FIXED,100,Bin B02-01
B02-02,4000,B02,SECONDARY,200,Bin B02-02 (Secondary)
C01-01,4000,C01,FIXED,100,Bin C01-01
C02-01,4000,C02,FIXED,100,Bin C02-01
C03-01,4000,C03,FIXED,100,Bin C03-01
