MATNR,WERKS,DISMM
100-00001,1000,20
100-00002,1000,20
100-00003,1000,20
100-00004,1000,20
100-00005,1000,20
100-00006,1000,20
100-00007,1000,30
100-00008,1000,20
100-00009,1000,20
100-00010,1000,20
100-00011,1000,20
100-00012,1000,20
100-00013,1000,30
100-00014,1000,20
100-00015,1000,20
100-00016,1000,30
100-00017,1000,20
100-00018,1000,20
100-00019,1000,20
100-00020,1000,20
100-00021,1000,20
100-00022,1000,20
100-00023,1000,20
100-00024,1000,30
100-00025,1000,30
100-00026,1000,30
100-00027,1000,30
100-00028,1000,30
100-00029,1000,20
100-00030,1000,20
100-00031,2000,20
100-00032,2000,20
100-00033,2000,30
100-00034,2000,20
100-00035,2000,20
100-00036,2000,20
100-00037,2000,30
100-00038,2000,30
100-00039,2000,20
100-00040,2000,20
100-00041,2000,20
100-00042,2000,20
100-00043,2000,20
100-00044,2000,20
100-00045,2000,20
100-00046,2000,20
100-00047,2000,20
100-00048,2000,30
100-00049,2000,20
100-00050,2000,20
100-00051,3000,20
100-00052,3000,20
100-00053,3000,30
100-00054,3000,20
100-00055,3000,20
100-00056,3000,30
100-00057,3000,30
100-00058,3000,20
100-00059,3000,20
100-00060,3000,20
100-00061,3000,30
100-00062,3000,20
100-00063,3000,20
100-00064,3000,30
100-00065,3000,20
100-00066,3000,20
100-00067,3000,20
100-00068,3000,20
100-00069,3000,20
100-00070,3000,20
100-00071,4000,20
100-00072,4000,20
100-00073,4000,20
100-00074,4000,30
100-00075,4000,20
100-00076,4000,20
100-00077,4000,20
100-00078,4000,30
100-00079,4000,20
100-00080,4000,20
100-00081,4000,30
100-00082,4000,30
100-00083,4000,20
100-00084,4000,20
100-00085,4000,20
100-00086,4000,20
100-00087,4000,20
100-00088,4000,30
100-00089,4000,30
100-00090,4000,30
100-00091,4000,20
100-00092,4000,20
100-00093,4000,20
100-00094,4000,20
100-00095,4000,20
100-00096,4000,20
100-00097,4000,20
100-00098,4000,30
100-00099,4000,30
100-00100,4000,30
