MATNR,WERKS,LGORT,LABST,SPERR,MEINS
100-00001,1000,A01,5000,100,KG
100-00001,1000,A02,3500,50,KG
100-00002,1000,A01,12000,200,M
100-00002,1000,B01,8500,300,M
100-00003,1000,B01,250,10,M
100-00004,1000,C01,15000,500,KG
100-00005,1000,C02,8000,200,EA
100-00006,1000,A03,1500,50,EA
100-00007,1000,B02,3200,80,EA
100-00008,1000,C01,22000,1000,L
100-00009,1000,C03,18000,600,L
100-00010,1000,A01,45000,1500,EA
100-00011,1000,A02,7200,150,M
100-00012,1000,B01,5600,100,M
100-00013,1000,B02,12000,400,EA
100-00014,1000,C02,3200,80,M
100-00015,1000,C03,2500,100,KG
100-00016,1000,A03,6800,200,EA
100-00017,1000,A01,450,20,M
100-00018,1000,C01,8000,300,L
100-00019,1000,A02,9200,200,M
100-00020,1000,B01,6400,150,KG
100-00031,2000,A01,3200,100,M
100-00031,2000,B01,5600,200,M
100-00032,2000,A02,2800,80,M
100-00033,2000,B01,1500,50,M
100-00034,2000,C01,4200,150,M
100-00035,2000,C02,3600,100,M
100-00036,2000,A03,6400,200,M
100-00037,2000,B02,5200,150,M
100-00038,2000,C01,8200,300,M
100-00039,2000,C03,7600,250,M
100-00040,2000,A01,4800,150,M
100-00041,2000,A02,2200,60,EA
100-00042,2000,B01,12000,400,KG
100-00043,2000,B02,8800,300,KG
100-00044,2000,C01,15000,500,KG
100-00045,2000,C02,9600,320,M2
100-00046,2000,C03,6400,200,KG
100-00047,2000,A01,8200,300,L
100-00048,2000,A03,5600,150,KG
100-00049,2000,B01,4400,130,KG
100-00050,2000,B02,3200,100,KG
100-00051,3000,A01,8400,300,KG
100-00051,3000,A02,6200,200,KG
100-00052,3000,B01,5600,150,KG
100-00053,3000,B02,7200,250,KG
100-00054,3000,C01,4800,150,KG
100-00055,3000,C02,6400,200,KG
100-00056,3000,C03,5200,150,KG
100-00057,3000,A03,4000,100,KG
100-00058,3000,B02,3200,80,KG
100-00059,3000,C01,8800,300,M
100-00060,3000,C02,6400,200,M
100-00061,3000,A01,15000,500,EA
100-00062,3000,A02,12000,400,M2
100-00063,3000,B01,9600,320,M2
100-00064,3000,B02,8000,250,EA
100-00065,3000,C01,6400,200,M
100-00066,3000,C03,5200,150,M
100-00067,3000,A03,4800,130,M
100-00068,3000,B02,3600,100,M
100-00069,3000,C01,2800,80,M
100-00070,3000,C02,2400,60,M
100-00071,4000,A01,12000,400,M2
100-00071,4000,B01,8800,300,M2
100-00072,4000,B02,6400,200,M
100-00073,4000,C01,5200,150,M
100-00074,4000,C02,4000,100,M
100-00075,4000,C03,3200,80,EA
100-00076,4000,A02,2400,60,M
100-00077,4000,A03,8400,300,M
100-00078,4000,B02,6800,200,KG
100-00079,4000,C01,5600,150,L
100-00080,4000,C03,4800,130,L
100-00081,4000,A01,3600,100,L
100-00082,4000,A02,2800,80,L
100-00083,4000,B01,2200,60,L
100-00084,4000,B02,1600,40,L
100-00085,4000,C02,1200,30,L
100-00086,4000,C03,3200,100,L
100-00087,4000,A03,2400,80,L
100-00088,4000,B01,1800,50,L
100-00089,4000,B02,1400,40,L
100-00090,4000,C01,2600,80,KG
