MATNR,BWKEY,VPRSV,STPRS,VERPR,LBKUM,SALK3
100-00001,1000,S,25.00,24.50,5000,122500
100-00002,1000,V,38.00,38.20,12000,458400
100-00003,1000,S,35.00,34.80,250,8700
100-00004,1000,V,25.00,24.75,15000,371250
100-00005,1000,S,30.00,29.50,8000,236000
100-00006,1000,V,30.00,30.25,1500,45375
100-00007,1000,S,30.00,29.80,3200,95360
100-00008,1000,V,24.00,23.90,22000,525800
100-00009,1000,S,30.00,29.75,18000,535500
100-00010,1000,V,30.00,30.10,45000,1354500
100-00011,1000,S,30.00,29.90,7200,215280
100-00012,1000,V,30.00,30.20,5600,169120
100-00013,1000,S,30.00,29.85,12000,358200
100-00014,1000,V,30.00,30.05,3200,96160
100-00015,1000,S,30.00,29.95,2500,74875
100-00016,1000,V,30.00,30.15,6800,204820
100-00017,1000,S,30.00,29.70,450,13365
100-00018,1000,V,30.00,30.20,8000,241600
100-00031,2000,S,30.00,29.85,3200,95520
100-00032,2000,V,30.00,30.10,2800,84280
100-00033,2000,S,30.00,29.90,1500,44850
100-00034,2000,V,30.00,30.20,4200,126840
100-00035,2000,S,30.00,29.95,3600,107820
100-00036,2000,V,30.00,30.15,6400,193200
100-00037,2000,S,30.00,29.85,5200,155220
100-00038,2000,V,30.00,30.10,8200,247820
100-00039,2000,S,30.00,29.95,7600,227420
100-00040,2000,V,30.00,30.20,4800,145200
100-00041,2000,S,30.00,29.90,2200,65780
100-00042,2000,V,30.00,30.10,12000,361200
100-00043,2000,S,30.00,29.85,8800,262680
100-00044,2000,V,30.00,30.15,15000,452250
100-00045,2000,S,30.00,29.95,9600,287520
100-00046,2000,V,30.00,30.10,6400,192640
100-00047,2000,S,30.00,29.85,8200,244770
100-00048,2000,V,30.00,30.20,5600,169120
100-00049,2000,S,30.00,29.90,4400,131560
100-00050,2000,V,30.00,30.15,3200,96480
100-00051,3000,S,30.00,29.80,8400,250320
100-00052,3000,V,30.00,30.15,5600,168840
100-00053,3000,S,30.00,29.85,7200,215020
100-00054,3000,V,30.00,30.20,4800,145200
100-00055,3000,S,30.00,29.90,6400,191360
100-00056,3000,V,30.00,30.10,5200,156520
100-00057,3000,S,30.00,29.85,4000,119400
100-00058,3000,V,30.00,30.15,3200,96480
100-00059,3000,S,30.00,29.80,8800,262240
100-00060,3000,V,30.00,30.20,6400,192320
