MATNR,WERKS,DOCNUM,ITEMNUM,BUDAT,DOCTYPE,MENGE,DMBTR
100-00001,1000,5000000001,001,2026-01-15,PO,5000,125000
100-00001,1000,5000000002,001,2026-02-10,MV,3500,87500
100-00002,1000,5000000003,001,2026-03-05,PO,6000,228000
100-00002,1000,5000000004,001,2026-04-01,MV,500,19000
100-00003,1000,5000000005,001,2026-04-10,PO,250,8750
100-00004,1000,5000000006,001,2026-01-20,PO,15000,375000
100-00004,1000,5000000007,001,2026-02-15,ADJ,500,12500
100-00005,1000,5000000008,001,2026-01-25,PO,8000,240000
100-00005,1000,5000000009,001,2026-05-01,MV,200,6000
100-00006,1000,5000000010,001,2026-02-01,PO,1500,45000
100-00007,1000,5000000011,001,2026-02-05,PO,3200,96000
100-00008,1000,5000000012,001,2026-01-10,PO,22000,528000
100-00008,1000,5000000013,001,2026-04-10,MV,500,12000
100-00009,1000,5000000014,001,2026-02-12,PO,18000,540000
100-00010,1000,5000000015,001,2026-01-05,PO,45000,1350000
100-00010,1000,5000000016,001,2026-03-15,ADJ,1000,30000
100-00011,1000,5000000017,001,2026-03-01,MV,7200,216000
100-00012,1000,5000000018,001,2026-02-20,PO,5600,168000
100-00013,1000,5000000019,001,2026-03-10,PO,12000,360000
100-00013,1000,5000000020,001,2026-05-05,ADJ,400,12000
100-00014,1000,5000000021,001,2026-04-01,MV,3200,96000
100-00015,1000,5000000022,001,2026-03-20,PO,2500,75000
100-00016,1000,5000000023,001,2026-02-25,PO,6800,204000
100-00017,1000,5000000024,001,2026-04-05,MV,450,13500
100-00018,1000,5000000025,001,2026-02-28,PO,8000,240000
100-00031,2000,5000000026,001,2026-01-12,PO,3200,96000
100-00032,2000,5000000027,001,2026-02-08,PO,2800,84000
100-00032,2000,5000000028,001,2026-03-15,ADJ,400,12000
100-00033,2000,5000000029,001,2026-01-20,PO,1500,45000
100-00034,2000,5000000030,001,2026-02-14,MV,4200,126000
100-00035,2000,5000000031,001,2026-03-01,PO,3600,108000
100-00036,2000,5000000032,001,2026-04-05,MV,6400,192000
100-00037,2000,5000000033,001,2026-04-12,PO,5200,156000
100-00037,2000,5000000034,001,2026-05-15,TRF,1000,30000
100-00038,2000,5000000035,001,2026-05-01,MV,8200,246000
100-00039,2000,5000000036,001,2026-05-05,PO,7600,228000
100-00040,2000,5000000037,001,2026-05-10,PO,4800,144000
100-00041,2000,5000000038,001,2026-05-12,MV,2200,66000
100-00042,2000,5000000039,001,2026-01-15,PO,12000,360000
100-00042,2000,5000000040,001,2026-04-20,ADJ,600,18000
100-00043,2000,5000000041,001,2026-02-20,PO,8800,264000
100-00043,2000,5000000042,001,2026-05-08,MV,300,9000
100-00044,2000,5000000043,001,2026-03-01,PO,15000,450000
100-00045,2000,5000000044,001,2026-04-10,MV,9600,288000
100-00046,2000,5000000045,001,2026-05-01,PO,6400,192000
100-00047,2000,5000000046,001,2026-05-05,TRF,8200,246000
100-00048,2000,5000000047,001,2026-05-10,MV,5600,168000
100-00049,2000,5000000048,001,2026-05-15,PO,4400,132000
100-00050,2000,5000000049,001,2026-05-20,MV,3200,96000
100-00051,3000,5000000050,001,2026-01-18,PO,8400,252000
100-00052,3000,5000000051,001,2026-02-10,PO,5600,168000
100-00052,3000,5000000052,001,2026-03-20,ADJ,400,12000
100-00053,3000,5000000053,001,2026-03-15,MV,7200,216000
100-00054,3000,5000000054,001,2026-04-20,MV,4800,144000
100-00055,3000,5000000055,001,2026-05-01,PO,6400,192000
100-00056,3000,5000000056,001,2026-05-05,MV,5200,156000
100-00057,3000,5000000057,001,2026-05-10,PO,4000,120000
100-00058,3000,5000000058,001,2026-05-15,MV,3200,96000
100-00059,3000,5000000059,001,2026-05-20,TRF,8800,264000
100-00060,3000,5000000060,001,2026-05-22,MV,6400,192000
