MATNR,WERKS,BWKEY,KONTO,WAERS,DMBTR,MENGE
100-00001,1000,1000,140000,USD,125000,5000
100-00002,1000,1000,140000,USD,456000,12000
100-00003,1000,1000,140000,USD,8750,250
100-00004,1000,1000,140000,USD,375000,15000
100-00005,1000,1000,140000,USD,240000,8000
100-00006,1000,1000,140000,USD,45000,1500
100-00007,1000,1000,140000,USD,96000,3200
100-00008,1000,1000,140000,USD,528000,22000
100-00009,1000,1000,140000,USD,540000,18000
100-00010,1000,1000,140000,USD,1350000,45000
100-00011,1000,1000,140000,USD,216000,7200
100-00012,1000,1000,140000,USD,168000,5600
100-00013,1000,1000,140000,USD,360000,12000
100-00014,1000,1000,140000,USD,96000,3200
100-00015,1000,1000,140000,USD,75000,2500
100-00016,1000,1000,140000,USD,204000,6800
100-00017,1000,1000,140000,USD,13500,450
100-00018,1000,1000,140000,USD,240000,8000
100-00031,2000,2000,140100,USD,96000,3200
100-00032,2000,2000,140100,USD,84000,2800
100-00033,2000,2000,140100,USD,45000,1500
100-00034,2000,2000,140100,USD,126000,4200
100-00035,2000,2000,140100,USD,108000,3600
100-00036,2000,2000,140100,USD,192000,6400
100-00037,2000,2000,140100,USD,156000,5200
100-00038,2000,2000,140100,USD,246000,8200
100-00039,2000,2000,140100,USD,228000,7600
100-00040,2000,2000,140100,USD,144000,4800
100-00041,2000,2000,140100,USD,66000,2200
100-00042,2000,2000,140100,USD,360000,12000
100-00043,2000,2000,140100,USD,264000,8800
100-00044,2000,2000,140100,USD,450000,15000
100-00045,2000,2000,140100,USD,288000,9600
100-00046,2000,2000,140100,USD,192000,6400
100-00047,2000,2000,140100,USD,246000,8200
100-00048,2000,2000,140100,USD,168000,5600
100-00049,2000,2000,140100,USD,132000,4400
100-00050,2000,2000,140100,USD,96000,3200
100-00051,3000,3000,140200,USD,252000,8400
100-00052,3000,3000,140200,USD,168000,5600
100-00053,3000,3000,140200,USD,216000,7200
100-00054,3000,3000,140200,USD,144000,4800
100-00055,3000,3000,140200,USD,192000,6400
100-00056,3000,3000,140200,USD,156000,5200
100-00057,3000,3000,140200,USD,120000,4000
100-00058,3000,3000,140200,USD,96000,3200
100-00059,3000,3000,140200,USD,264000,8800
100-00060,3000,3000,140200,USD,192000,6400
