MATNR,WERKS,MBLNR,MJAHR,ZEILE,LGORT,BWART,BUDAT,MENGE
100-00001,1000,5000000001,2026,001,A01,201,2026-01-15,5000
100-00001,1000,5000000002,2026,001,A01,202,2026-02-10,3500
100-00002,1000,5000000003,2026,001,A01,309,2026-03-05,500
100-00002,1000,5000000004,2026,001,B01,309,2026-03-06,-500
100-00003,1000,5000000005,2026,001,B01,201,2026-04-01,250
100-00004,1000,5000000006,2026,001,C01,201,2026-01-20,15000
100-00004,1000,5000000007,2026,001,C01,911,2026-02-15,500
100-00004,1000,5000000008,2026,001,C01,911,2026-02-20,250
100-00005,1000,5000000009,2026,001,C02,201,2026-01-25,8000
100-00005,1000,5000000010,2026,001,C02,912,2026-05-01,-200
100-00006,1000,5000000011,2026,001,A03,201,2026-02-01,1500
100-00007,1000,5000000012,2026,001,B02,201,2026-02-05,3200
100-00008,1000,5000000013,2026,001,C01,201,2026-01-10,22000
100-00008,1000,5000000014,2026,001,C01,912,2026-04-10,-500
100-00009,1000,5000000015,2026,001,C03,201,2026-02-12,18000
100-00010,1000,5000000016,2026,001,A01,201,2026-01-05,45000
100-00010,1000,5000000017,2026,001,A01,901,2026-03-15,-1000
100-00011,1000,5000000018,2026,001,A02,202,2026-03-01,7200
100-00012,1000,5000000019,2026,001,B01,201,2026-02-20,5600
100-00012,1000,5000000020,2026,001,B01,309,2026-04-15,1000
100-00012,1000,5000000021,2026,001,A02,309,2026-04-16,-1000
100-00013,1000,5000000022,2026,001,B02,201,2026-03-10,12000
100-00013,1000,5000000023,2026,001,B02,911,2026-05-05,400
100-00013,1000,5000000024,2026,001,B02,911,2026-05-06,200
100-00013,1000,5000000025,2026,001,B02,912,2026-05-07,-100
100-00014,1000,5000000026,2026,001,C02,202,2026-04-01,3200
100-00015,1000,5000000027,2026,001,C03,201,2026-03-20,2500
100-00016,1000,5000000028,2026,001,A03,201,2026-02-25,6800
100-00016,1000,5000000029,2026,001,A03,309,2026-05-10,500
100-00016,1000,5000000030,2026,001,B02,309,2026-05-11,-500
100-00017,1000,5000000031,2026,001,A01,202,2026-04-05,450
100-00018,1000,5000000032,2026,001,C01,201,2026-02-28,8000
100-00019,1000,5000000033,2026,001,A02,202,2026-03-25,9200
100-00020,1000,5000000034,2026,001,B01,201,2026-04-10,6400
100-00031,2000,5000000035,2026,001,A01,201,2026-01-12,3200
100-00032,2000,5000000036,2026,001,A02,201,2026-02-08,2800
100-00032,2000,5000000037,2026,001,A02,911,2026-03-15,400
100-00033,2000,5000000038,2026,001,B01,201,2026-01-20,1500
100-00034,2000,5000000039,2026,001,C01,202,2026-02-14,4200
100-00035,2000,5000000040,2026,001,C02,201,2026-03-01,3600
100-00036,2000,5000000041,2026,001,A03,202,2026-04-05,6400
100-00037,2000,5000000042,2026,001,B02,201,2026-04-12,5200
100-00037,2000,5000000043,2026,001,B02,309,2026-05-15,1000
100-00037,2000,5000000044,2026,001,A01,309,2026-05-16,-1000
100-00038,2000,5000000045,2026,001,C01,202,2026-05-01,8200
100-00039,2000,5000000046,2026,001,C03,201,2026-05-05,7600
100-00040,2000,5000000047,2026,001,A01,201,2026-05-10,4800
100-00041,2000,5000000048,2026,001,A02,202,2026-05-12,2200
100-00042,2000,5000000049,2026,001,B01,201,2026-01-15,12000
100-00042,2000,5000000050,2026,001,B01,911,2026-04-20,600
100-00043,2000,5000000051,2026,001,B02,201,2026-02-20,8800
100-00043,2000,5000000052,2026,001,B02,912,2026-05-08,-300
100-00044,2000,5000000053,2026,001,C01,201,2026-03-01,15000
100-00045,2000,5000000054,2026,001,C02,202,2026-04-10,9600
100-00046,2000,5000000055,2026,001,C03,201,2026-05-01,6400
100-00047,2000,5000000056,2026,001,A01,221,2026-05-05,8200
100-00048,2000,5000000057,2026,001,A03,202,2026-05-10,5600
100-00049,2000,5000000058,2026,001,B01,201,2026-05-15,4400
100-00050,2000,5000000059,2026,001,B02,202,2026-05-20,3200
100-00051,3000,5000000060,2026,001,A01,201,2026-01-18,8400
100-00052,3000,5000000061,2026,001,B01,201,2026-02-10,5600
100-00052,3000,5000000062,2026,001,B01,911,2026-03-20,400
100-00052,3000,5000000063,2026,001,B01,911,2026-04-05,300
100-00052,3000,5000000064,2026,001,B01,912,2026-04-25,-200
100-00053,3000,5000000065,2026,001,B02,202,2026-03-15,7200
100-00054,3000,5000000066,2026,001,C01,202,2026-04-20,4800
100-00055,3000,5000000067,2026,001,C02,201,2026-05-01,6400
100-00056,3000,5000000068,2026,001,C03,202,2026-05-05,5200
100-00057,3000,5000000069,2026,001,A03,201,2026-05-10,4000
100-00058,3000,5000000070,2026,001,B02,202,2026-05-15,3200
100-00059,3000,5000000071,2026,001,C01,222,2026-05-20,8800
100-00060,3000,5000000072,2026,001,C02,202,2026-05-22,6400
100-00061,3000,5000000073,2026,001,A01,201,2026-01-25,15000
100-00062,3000,5000000074,2026,001,A02,202,2026-02-15,12000
100-00063,3000,5000000075,2026,001,B01,202,2026-03-10,9600
100-00064,3000,5000000076,2026,001,B02,201,2026-04-01,8000
100-00064,3000,5000000077,2026,001,B02,309,2026-05-01,2000
100-00064,3000,5000000078,2026,001,A02,309,2026-05-02,-2000
100-00065,3000,5000000079,2026,001,C01,202,2026-05-03,6400
100-00066,3000,5000000080,2026,001,C03,202,2026-05-05,5200
100-00067,3000,5000000081,2026,001,A03,202,2026-05-10,4800
100-00068,3000,5000000082,2026,001,B02,202,2026-05-15,3600
100-00069,3000,5000000083,2026,001,C01,202,2026-05-20,2800
100-00070,3000,5000000084,2026,001,C02,202,2026-05-25,2400
100-00071,4000,5000000085,2026,001,A01,201,2026-01-20,12000
100-00072,4000,5000000086,2026,001,B02,202,2026-02-18,6400
100-00073,4000,5000000087,2026,001,C01,221,2026-03-15,5200
100-00074,4000,5000000088,2026,001,C02,202,2026-04-10,4000
100-00075,4000,5000000089,2026,001,C03,202,2026-05-01,3200
100-00076,4000,5000000090,2026,001,A02,222,2026-05-05,2400
100-00077,4000,5000000091,2026,001,A03,201,2026-05-10,8400
100-00078,4000,5000000092,2026,001,B02,202,2026-05-15,6800
100-00079,4000,5000000093,2026,001,C01,221,2026-05-20,5600
100-00080,4000,5000000094,2026,001,C03,202,2026-05-22,4800
